txid,amount,shopper_country,issuer_country,shopper_email,creation_date,card_number_hash,txvariantcode,bin,currency,fraud
61,853472,US,US,shonda.nordstrom@yahoo.com,03/10/2016 09:37 AM,956c1ac3ad682057d8,visafleetdebit,711470,NOK,0
62,210802,GB,GB,hoa.duffer@hotmail.com,03/10/2016 09:46 AM,2f1a9ea90d63e5e86f,visadankort,854962,SEK,0
63,44642,SE,SE,sarita.surprenant@aol.com,03/10/2016 10:36 AM,d2becaaf099383c930,vpay,795615,NOK,0
64,684787,US,US,arla.foronda@yahoo.com,03/10/2016 10:46 AM,9ac192e5efaa4f0ff5,visafleetcredit,469970,CAD,0
65,60364,NI,NI,carmine.mach@hotmail.com,03/10/2016 11:51 AM,0d47b1d6f838874491,mcstandardcredit,939701,CAD,0
66,915552,US,US,amado.shoulders@gmail.com,03/10/2016 02:18 PM,8aac0ae74ec2eaa37b,visacommercialpremiumcredit,366857,GBP,0
67,278936,NI,NI,arla.foronda@hotmail.com,03/10/2016 03:04 PM,b8fc2cd564c180e513,visacommercialsuperpremiumdebit,374386,NOK,0
68,695508,FI,FI,amado.shoulders@gmail.com,03/10/2016 03:49 PM,ca24bfa4ecb81daef3,amex_samsungpay,899644,CAD,0
69,302579,AU,AU,rubye.granado@yahoo.com,03/10/2016 04:47 PM,8ae5a02ad204c0fff5,mcpremiumcredit,156687,CNY,0
70,109514,DE,RO,natasha.trader@aol.com,03/10/2016 05:46 PM,40dc9410ea038660e1,mccommercialpremiumdebit,850060,NOK,1
71,604072,NO,NO,kelley.pazos@hotmail.com,03/10/2016 06:07 PM,7251c11760878675d3,visaplatinum,309564,CAD,0
72,654375,RO,RO,marta.nathaniel@yahoo.com,03/10/2016 06:50 PM,150af6ac850971a2e9,mcsuperpremiumdebit,809705,SEK,1
73,117837,NO,NO,wanda.pakele@hotmail.com,03/10/2016 07:06 PM,e301589518dc2b1346,mcstandarddebit,474819,EUR,0
74,903945,SE,SE,douglass.moffit@gmail.com,03/10/2016 08:57 PM,c1c109e3e72077e0e1,visafleetcredit,890096,USD,0
75,967694,CA,CA,lashay.creager@msn.com,03/10/2016 09:44 PM,6181b58aa40ffbcf49,visasuperpremiumcredit,712448,CAD,0
76,573496,UA,UA,trey.mikus@aol.com,03/10/2016 09:57 PM,05c75c8e93e4e11f43,amex_applepay,938889,CNY,0
77,780188,NI,NI,sherice.tims@yahoo.com,03/10/2016 10:43 PM,ca6da496bc58942ba5,visabusiness,296543,GBP,0
78,80297,SE,SE,audrey.lentini@gmail.com,04/10/2016 12:30 AM,6f1dcae74907541b2d,mcpro,138014,AUD,0
79,723678,US,US,teresa.hilgefort@gmail.com,04/10/2016 12:45 AM,0ce4344d48b7121341,mcpremiumdebit,480199,EUR,0
80,522852,AU,CN,annalisa.anger@aol.com,04/10/2016 12:50 AM,d26e667dc4922ba5c2,visacredit,366763,NOK,0
81,287647,FI,FI,preston.vartanian@msn.com,04/10/2016 03:49 AM,ffe84629f378c79b82,mc_androidpay,642104,GBP,0
82,274680,SE,SE,barbara.cullins@yahoo.com,04/10/2016 04:11 AM,4a7ea477bed75cb6fb,visa,722630,SEK,0
83,589912,DE,DE,imogene.kasper@yahoo.com,04/10/2016 04:11 AM,cfa23d9f817fddbb3a,amex_androidpay,398423,AUD,0
84,347908,BE,BE,trinity.steadman@yahoo.com,04/10/2016 05:33 AM,3306bae5aeffadc604,visa_applepay,398431,CNY,0
85,84963,NI,NI,wanda.pakele@aol.com,04/10/2016 06:17 AM,92cfbc3da84aa6bfb2,mccredit,316271,CNY,0
86,261362,CN,CN,sherice.tims@yahoo.com,04/10/2016 06:23 AM,fd9a779c423ad94d91,visacommercialcredit,627725,EUR,0
87,775689,UA,UA,douglass.moffit@hotmail.com,04/10/2016 06:24 AM,c0cf92d3f25cfa53c1,maestrouk,892475,USD,1
88,605065,BE,BE,annalisa.anger@msn.com,04/10/2016 08:22 AM,de41db6dd5953f5136,visa_applepay,813232,AUD,0
89,450730,FR,FR,daren.burk@aol.com,04/10/2016 08:26 AM,18937d2fb7d35bd6dc,visacommercialdebit,344146,NOK,0
90,352745,UA,UA,cruz.oquinn@gmail.com,04/10/2016 10:40 AM,7f41e187e889a24f5f,visastandardcredit,550375,EUR,0
91,484579,RO,RO,magaret.franchi@gmail.com,04/10/2016 11:02 AM,fbd79d00c09cfe0828,visacorporate,226526,CAD,0
92,130767,BE,BE,dorcas.cameron@gmail.com,04/10/2016 12:16 PM,2536181a66f44f9ded,mc_applepay,770017,NOK,0
93,751386,RO,RO,margarete.wadlow@aol.com,04/10/2016 02:20 PM,40b76693e7306e1031,mcpurchasingdebit,545143,NOK,1
94,859646,BE,BE,randell.schwartzman@gmail.com,04/10/2016 02:43 PM,b96872616f76498c8d,visabusiness,895139,SEK,0
95,504096,SE,SE,eliana.hackman@gmail.com,04/10/2016 03:38 PM,50175f75e46e530b96,visa_applepay,429636,USD,0
96,762445,FI,FI,adolfo.spurlock@msn.com,04/10/2016 03:45 PM,920c9a6887d0329609,amex,581140,EUR,1
97,639177,SE,SE,gaynelle.beausoleil@gmail.com,04/10/2016 03:48 PM,7a545dae0848b64ec2,visapurchasingdebit,726548,CNY,0
98,66650,AU,AU,ross.whitney@gmail.com,04/10/2016 04:53 PM,b06afbc7c67ed729eb,mcpro,614189,SEK,0
99,617213,CN,CN,lieselotte.crichton@msn.com,04/10/2016 06:36 PM,428c088479c9933439,jcb,629083,GBP,0
100,399799,NL,NL,louvenia.regnier@msn.com,04/10/2016 06:39 PM,52368f2be01157df2b,mcatm,142167,CAD,0
101,744125,AU,AU,liana.lev@msn.com,04/10/2016 07:38 PM,6144bc5f110adbccba,cirrus,299621,CAD,0
102,322495,NI,NI,adolfo.spurlock@msn.com,04/10/2016 08:05 PM,16beea015105727df6,mcstandardcredit,656072,GBP,0
103,225245,GB,GB,dewey.pogue@msn.com,04/10/2016 08:42 PM,ec077e51a988979e09,visacorporatecredit,944887,SEK,0
104,267666,UA,UA,douglass.moffit@hotmail.com,04/10/2016 09:05 PM,3689e66a6100a404c3,mccorporatecredit,570893,NOK,1
105,746379,CA,CA,annika.locust@yahoo.com,04/10/2016 09:19 PM,61fd987f90ba09448b,mcpro,815700,AUD,0
106,419156,UA,UA,trey.mikus@aol.com,05/10/2016 12:46 AM,3811695192beb02444,visacorporate,100138,EUR,0
107,793000,SE,SE,wanda.pakele@aol.com,05/10/2016 01:26 AM,be67c255624a6de9af,mcatm,920421,CAD,0
108,439229,CA,CA,phil.moreau@msn.com,05/10/2016 01:37 AM,574ba03e5a67dd9d67,visapurchasingcredit,240042,GBP,0
109,958920,SE,BE,bernadette.schildgen@yahoo.com,05/10/2016 01:53 AM,3781ce7ba5ae3cf9f2,mc_samsungpay,613375,NOK,0
110,622302,CN,CN,rodolfo.isabelle@yahoo.com,05/10/2016 02:36 AM,b61f52a69414324d0c,mcsuperpremiumcredit,284328,GBP,0
111,634280,US,RO,teresa.hilgefort@gmail.com,05/10/2016 03:41 AM,93c001183109976286,visastandarddebit,750860,AUD,0
112,49962,SE,SE,ivy.rickenbacker@gmail.com,05/10/2016 04:25 AM,1a8e171e0beabc7445,visadebit,751708,USD,0
113,560007,NI,SE,pearl.letts@aol.com,05/10/2016 04:43 AM,70e6472e60c586bfb1,maestrouk,888183,AUD,1
114,318860,US,US,amado.shoulders@gmail.com,05/10/2016 05:17 AM,abb6a4c535c0d0cbbb,visasuperpremiumdebit,204257,GBP,0
115,78690,RO,RO,rodolfo.isabelle@msn.com,05/10/2016 06:02 AM,8b73ec3d3ee55abaa3,visapremiumdebit,851458,AUD,0
116,538364,AU,AU,millicent.marini@gmail.com,05/10/2016 06:13 AM,24fb9cee8419368264,bcmc,867654,SEK,0
117,436650,NL,NL,lonna.amann@hotmail.com,05/10/2016 06:22 AM,a93d5212efab8d6176,cirrus,729410,GBP,0
118,206209,NL,NL,teresa.hilgefort@gmail.com,05/10/2016 06:42 AM,d4df397f6421b5f026,electron,304455,AUD,0
119,248225,NO,NO,ester.hooker@gmail.com,05/10/2016 06:51 AM,65cf5a615f401e8968,visacommercialpremiumcredit,847804,CAD,0
120,990309,DE,DE,leone.bracero@yahoo.com,05/10/2016 08:50 AM,3aa2332819d2d2e367,amex_samsungpay,987410,CAD,0
121,228175,AU,AU,lissette.walrath@yahoo.com,05/10/2016 09:07 AM,d4fb998144c9f9f552,visa_samsungpay,159926,GBP,0
122,908572,US,US,annamarie.ogle@msn.com,05/10/2016 11:35 AM,2b2ae49621bb1e8662,visapremiumcredit,136092,NOK,0
123,149350,NI,NI,wanda.pakele@aol.com,05/10/2016 12:58 PM,0d160c5af897aa1392,visacorporatedebit,381064,CNY,0
124,163448,US,US,marta.nathaniel@msn.com,05/10/2016 01:11 PM,95ba290a147b93a879,mcstandarddebit,480730,USD,0
125,713315,DE,GB,leone.bracero@yahoo.com,05/10/2016 02:50 PM,0b8b703cae510327f8,visacorporatecredit,403242,USD,0
126,674216,CN,CN,lera.moretti@msn.com,05/10/2016 03:13 PM,cd03ef2952962ab819,mc,969442,NOK,0
127,126917,BE,BE,barbara.cullins@aol.com,05/10/2016 03:35 PM,41a1ee366921bfd328,cirrus,506013,USD,0
128,272862,US,US,fernando.canney@yahoo.com,05/10/2016 03:40 PM,715932a247d4bd582a,mcpremiumdebit,238448,GBP,0
129,64952,CA,CA,phil.moreau@msn.com,05/10/2016 06:20 PM,4bd7b36d5d2e6c2a26,visadankort,422972,NOK,0
130,484054,CN,CN,lieselotte.crichton@gmail.com,05/10/2016 07:05 PM,c74085cb2ebf7dcf54,jcb,621145,GBP,0
131,958982,FR,FR,pearl.letts@gmail.com,05/10/2016 07:19 PM,b7bd46e1f2c3828c60,visapurchasingcredit,183553,GBP,0
132,123123,RO,RO,teresa.hilgefort@gmail.com,05/10/2016 08:56 PM,dc9caa75c03de6ff47,mcalphabankbonus,212334,USD,0
133,473976,DE,SE,ester.hooker@gmail.com,05/10/2016 09:04 PM,ae1b2391074bd24a0a,amex,770050,EUR,0
134,755089,US,US,romelia.salgado@yahoo.com,05/10/2016 10:36 PM,521dcd106a5eb1db79,visasaraivacard,730284,GBP,1
135,962176,NL,NL,amanda.bork@gmail.com,05/10/2016 10:44 PM,a4a8427c2484cac625,mcsuperpremiumdebit,856994,AUD,0
136,894198,BE,BE,georgianne.patricia@yahoo.com,05/10/2016 10:46 PM,873cdbe22dff30928c,visapremiumcredit,511286,USD,0
137,886523,US,US,annamarie.ogle@msn.com,06/10/2016 12:33 AM,2ba20a833fab96cc47,mcdebit,360426,EUR,0
138,199992,RO,RO,alejandra.hollinger@gmail.com,06/10/2016 01:06 AM,4224a218929d99a047,mcpurchasingcredit,239496,USD,0
139,408664,FR,RO,juan.trinidad@hotmail.com,06/10/2016 01:08 AM,515280d93cfa0971a1,visabusiness,744254,GBP,0
140,925405,NI,NI,natasha.trader@msn.com,06/10/2016 01:28 AM,183e8e79198c424685,mc_applepay,490614,NOK,0
141,366650,NI,SE,francesco.mccormack@gmail.com,06/10/2016 01:31 AM,f0d4a5c2c582e03cb0,visasignature,460240,GBP,1
142,109985,UA,UA,kathrine.chery@aol.com,06/10/2016 01:50 AM,ecf5e84cba8f3f7562,mc_applepay,864336,CNY,0
143,218185,AU,AU,elyse.manalo@gmail.com,06/10/2016 01:51 AM,d2d94d20bb4c850016,jcb,227663,AUD,0
144,531931,AU,AU,mallory.heyer@gmail.com,06/10/2016 02:39 AM,f175947392be6ae0ae,"bijcard, mccommercialdebit",151628,EUR,0
145,711251,SE,SE,annalisa.anger@gmail.com,06/10/2016 03:08 AM,0db7b387a3a7b03180,visahipotecario,313920,AUD,0
146,504288,CA,CA,hoa.duffer@msn.com,06/10/2016 03:27 AM,707e8101ea5304f3a4,visasignature,317735,GBP,0
147,80895,BE,BE,roosevelt.poor@msn.com,06/10/2016 04:43 AM,bdeef0853913034af8,bcmc,447641,SEK,0
148,742306,UA,UA,wanda.pakele@hotmail.com,06/10/2016 05:18 AM,a8d758d343b35ddf2f,visacommercialcredit,702648,CAD,0
149,728416,US,US,teresa.hilgefort@yahoo.com,06/10/2016 07:39 AM,1bfdd824a3d8ca334c,visasaraivacard,935318,USD,0
150,483344,NI,NI,sherice.tims@yahoo.com,06/10/2016 09:14 AM,ad8d92c118fe6653e6,mccommercialcredit,366961,USD,0
151,878808,CN,CA,conchita.brodeur@msn.com,06/10/2016 10:12 AM,bc3b8e440d1387b20a,mccommercialcredit,795071,SEK,0
152,496489,NI,NI,arla.foronda@hotmail.com,06/10/2016 10:13 AM,b8fc2cd564c180e513,visacommercialsuperpremiumdebit,374386,CNY,0
153,799509,AU,AU,thea.coughlin@hotmail.com,06/10/2016 02:30 PM,46acaddcc344abba35,mcstandarddebit,972377,CNY,0
154,560020,FR,FR,douglass.moffit@aol.com,06/10/2016 02:36 PM,f535d92ac90ea2bc1d,mc_samsungpay,304531,NOK,0
155,935821,NI,NI,liana.lev@hotmail.com,06/10/2016 04:45 PM,2429b396f69cb1979b,jcb,554775,USD,0
156,376438,BE,BE,demetrice.lorenzo@gmail.com,06/10/2016 04:56 PM,1af1017ccabe03a8cd,visastandardcredit,229966,AUD,0
157,118642,NL,NL,rebecka.sedlak@hotmail.com,06/10/2016 05:36 PM,cbf8bc8e5a0a59b3d2,visapurchasingdebit,557168,GBP,0
158,658563,CA,CA,roxie.palma@msn.com,06/10/2016 06:27 PM,7547127a71db11252f,visasignature,594337,AUD,0
159,693085,BE,BE,machelle.eastham@hotmail.com,06/10/2016 06:55 PM,80aad31d58ab7887ac,mcdebit,265154,AUD,0
160,469612,FI,FI,annalisa.anger@gmail.com,06/10/2016 06:58 PM,7cb40a7a4777cc4cea,visafleetcredit,431498,AUD,0
161,115247,RO,RO,johnny.digiovanni@aol.com,06/10/2016 07:50 PM,a42abce6e7ab238ebd,mccommercialpremiumcredit,123763,USD,0
162,853028,UA,UA,brandee.solomon@aol.com,06/10/2016 07:53 PM,422439eecf1a86bf0c,mcsuperpremiumdebit,197097,CNY,1
163,37534,FR,FR,leone.bracero@yahoo.com,06/10/2016 08:45 PM,f28347b7ea6b11380e,visacommercialcredit,558046,GBP,0
164,676785,RO,RO,rodolfo.isabelle@msn.com,06/10/2016 10:22 PM,8b73ec3d3ee55abaa3,visapremiumdebit,851458,CNY,0
165,46436,CA,CA,eliana.hackman@aol.com,06/10/2016 10:36 PM,ff9729070f2071d7fb,mccommercialpremiumcredit,849018,CAD,0
166,21355,UA,UA,bryce.riffel@aol.com,06/10/2016 11:08 PM,275280297ca2a212d4,visagold,745324,AUD,0
167,164120,AU,AU,magaret.franchi@yahoo.com,07/10/2016 12:07 AM,3e6f4457354a43a629,visapurchasing,539260,CAD,0
168,215397,SE,SE,eliana.hackman@gmail.com,07/10/2016 12:17 AM,e2ad72b96ac9503cd1,visacommercialsuperpremiumcredit,644851,USD,0
169,380928,CN,CN,annalisa.anger@hotmail.com,07/10/2016 12:42 AM,3e745aa20435ee2487,maestrouk,730562,USD,1
170,733012,CN,CN,annalisa.anger@hotmail.com,07/10/2016 12:42 AM,3e745aa20435ee2487,maestrouk,730562,CNY,1
171,104649,CN,CN,annalisa.anger@hotmail.com,07/10/2016 12:43 AM,3e745aa20435ee2487,maestrouk,730562,AUD,1
172,575354,CN,CN,annalisa.anger@hotmail.com,07/10/2016 12:43 AM,3e745aa20435ee2487,maestrouk,730562,AUD,1
173,474649,CN,CN,annalisa.anger@hotmail.com,07/10/2016 12:43 AM,3e745aa20435ee2487,maestrouk,730562,USD,1
174,163756,CN,CN,annalisa.anger@hotmail.com,07/10/2016 12:44 AM,3e745aa20435ee2487,maestrouk,730562,CAD,1
175,61413,CN,CN,annalisa.anger@hotmail.com,07/10/2016 12:44 AM,3e745aa20435ee2487,maestrouk,730562,GBP,1
176,210702,CN,CN,annalisa.anger@hotmail.com,07/10/2016 12:44 AM,3e745aa20435ee2487,maestrouk,730562,AUD,1
177,701992,CN,CN,annalisa.anger@hotmail.com,07/10/2016 12:44 AM,3e745aa20435ee2487,maestrouk,730562,GBP,1
178,931034,CN,CN,annalisa.anger@hotmail.com,07/10/2016 12:44 AM,3e745aa20435ee2487,maestrouk,730562,USD,1
179,893632,CN,CN,annalisa.anger@hotmail.com,07/10/2016 12:45 AM,3e745aa20435ee2487,maestrouk,730562,GBP,1
180,519827,CN,CN,annalisa.anger@hotmail.com,07/10/2016 12:46 AM,3e745aa20435ee2487,maestrouk,730562,CAD,1
181,23338,CN,CN,annalisa.anger@hotmail.com,07/10/2016 12:46 AM,3e745aa20435ee2487,maestrouk,730562,USD,1
182,206222,CN,CN,annalisa.anger@hotmail.com,07/10/2016 12:46 AM,3e745aa20435ee2487,maestrouk,730562,AUD,1
183,513481,BE,BE,louvenia.regnier@gmail.com,07/10/2016 02:23 AM,756a44a292f6c99511,visa_samsungpay,687521,GBP,0
184,565664,UA,UA,trey.mikus@aol.com,07/10/2016 03:55 AM,74de80b7f1df0594f3,visahipotecario,146149,GBP,0
185,481314,DE,DE,ester.hooker@gmail.com,07/10/2016 04:02 AM,9ed343b46432c4ae27,mcpurchasingcredit,632429,SEK,0
186,810427,UA,UA,lavenia.jaffee@msn.com,07/10/2016 04:43 AM,70f5f83d928761c1f5,mc_androidpay,975036,CNY,1
187,982459,UA,UA,dewey.pogue@yahoo.com,07/10/2016 06:34 AM,b0e7b1edfcc66c3651,visastandarddebit,713287,CAD,0
188,846263,NL,UA,louvenia.regnier@msn.com,07/10/2016 06:43 AM,cbec863b33fe611e2b,visapurchasing,687554,SEK,0
189,316235,GB,GB,annalisa.anger@hotmail.com,07/10/2016 07:23 AM,e4ff8534c055776486,visadankort,314466,GBP,0
190,930017,DE,DE,chantel.albus@aol.com,07/10/2016 07:32 AM,ebfed12ef10fe233f0,amex,438482,EUR,0
191,818804,SE,SE,ann.fandel@msn.com,07/10/2016 08:07 AM,0b0ec8048eab81e78f,mccorporate,616012,SEK,0
192,300562,BE,BE,lavenia.jaffee@aol.com,07/10/2016 09:08 AM,903d7ceef822053a57,visa_androidpay,153240,SEK,0
193,588280,NO,NO,emma.willems@msn.com,07/10/2016 09:32 AM,a2723c8d7153ddc656,amex_samsungpay,428905,USD,0
194,43228,NL,NO,ermelinda.dumont@gmail.com,07/10/2016 10:49 AM,9865ef1d477c4e168b,mccommercialpremiumcredit,632741,CAD,0
195,781148,CN,CN,noma.moxley@yahoo.com,07/10/2016 11:41 AM,73abd300c97a1521fc,visa_samsungpay,164208,GBP,0
196,517243,FR,NO,bryce.riffel@yahoo.com,07/10/2016 11:41 AM,dec6c748168e35b915,mcdebit,960629,EUR,0
197,856964,BE,BE,misty.havlik@aol.com,07/10/2016 02:43 PM,b1d1d33b20e31f95e3,mcfleetdebit,265358,USD,0
198,837311,UA,UA,deirdre.jahns@gmail.com,07/10/2016 04:12 PM,5d5ff956afcc326c61,mc_androidpay,629684,EUR,1
199,303669,BE,BE,lannie.holzwarth@hotmail.com,07/10/2016 05:46 PM,bcbfbce3bd50b4c3b2,visafleetdebit,997454,AUD,0
200,694533,NO,NO,adolfo.spurlock@yahoo.com,07/10/2016 06:18 PM,2f8ebdd4851f05679f,mc_applepay,931218,CAD,0
201,409204,US,US,lannie.holzwarth@hotmail.com,07/10/2016 07:10 PM,85f78d7d375624cae4,visastandardcredit,148737,CAD,0
